r,s,z,r_bits
5172461565428049387783682130041729138147705782976255618625,5103675960484904579004341998162698926341685956038917692858,2786592185647728531957239835951901016426607105401499833752,192
5305177550636353557581162143208494073096311030919834599596,4023326272328093074010941245752912956229595064656687203610,1499058348742023622935088621293527344659494645846403154601,192
2453852078917497281264524360677524605361085240836336223789,3502528005031466183649868588627977283381743307312903598253,1539232142396604044922866968607351384092060937776560460528,191
6243527451640089306934503219387052684220275373837513353690,1336839522619794825603349979856276794446134908982431443751,5939916370552809268129209612337633777714219721602079976930,192
2830718225552103559739858057118286334124205781582016022078,3324432352592788948342659192723912954794661772516394793109,3282725959178188210925137605444638538071844978492373757511,191
466424883848626876405894615001249175591294114272795389433,2999859172719201391649903531402562525610141349669821175154,5617546436785822383840543315650232950857477997764550283268,189
3529782077420823934800265301891232208994389777102655588109,5916180665936393449482284539973209685229570553332420456655,488369684051700648149979943999983695810770707715533223723,192
6108919463046948094794024424718707694280234956551328918472,5905313381604160373638004480883291756453596002085830613608,4965711070337787121293016183192608788540276707386345773112,192
2478718154114736449550207078409860997144334353118312447601,3341654770953134054267499163982633813921749649616549369664,4949912760227776909588932696644931268450977311874067645745,191
2908991322288870140043623569472989742882017318049286850258,1307560037484388529459184856819623698431980026476152209380,4318098805780083471953603086132296659446021718696415518762,191
992969355703968157697740534821027222590600185031168949375,4237597905212572211784249092297369558989080693535743989807,1623063821299058826325566806249573438103046056152550693232,190
974703755943918889410767658657727999621114577501957354583,34234162554567690832027931237175399353589609629697235987,3291916911455530940759640659050253554225280020336645123784,190
4291097454625603725652234900422780708352295498544959826814,2204414299669311720364540856688508388855057456030725174227,1769351927463340079768734222516117836966881257292836173295,192
3874240167901082124603075983696006861665276057069322998609,5699358101377266314462683144661272080819642046724269581686,3612154580554426286421974140676856287725351375708803641537,192
3227888401272116219182654145604633483644794617827982047709,272655344074713964619603903683077750485561920185716411985,933348289654663253748609251343111673720397927437989952272,192
4813627075419731503328403275999886307851547221523535568202,3938915749148214784332270806522378238438506067500336213036,1236000780200581300429005637469360718897322867791311781126,192
125145967830206039460601293325792064994751684947719228949,840030106796931132935038849732841286099016156842323364363,723028243857213375693397010017909028931798895469244560231,187
2909954108232399421052114562449670783833416457986948211462,2495226629625908488652749562704817754414584578327459026741,2690125420976803647822122328711417899409593600652404442471,191
214483559376309978296590633975435344339036835834861416141,3630987901520863314813304524915927269904293683014767560246,3997013798383986117206505721563309775529528853223480383567,188
946468692362829320548155147811984316174635138265460976640,4855450483075890334554505918619161443991871034854694671646,3151874908027435213540925771269333496385344315371276588382,190
2296116507472093728719061511356246140414193740431298933359,6185824659635599448788474048465823945457390447407452093639,4029155335968409051488401218750034579775212535241550101793,191
3641329595021899189053623614970845138768785168573232642201,2274583504469246136080799773005660549092632847870691336158,79304430101005203174946802684172142883143368783531179339,192
2189827539420876052957203667802604164657382109265757833237,6167965811318508192850082817609350306956513278568784407649,618815186149340386701857484721062306270735821030336142730,191
3418099803774466447045195899583363849288176432189532230130,4527074341668842609816666138730192549234900661335335306751,4062782942096803397994499105097656323459791914704200708602,192
2729214302120909175654536978672055119731981092756093943230,2357556140044969065260997174197231717286526852091560231475,3424018221127877173397827124074926705497022685168390401914,191
5285324611583039056666129037969423186088554906993911470912,506593649568786429347839247943021454085425656058375411366,2465254973645389658680685463861932895349744152523824310531,192
1009311549682538627163942757679270374903020995511531822375,673485523781851962204733129473903421795617972733531152580,5506809664427956339627291487799759980710006178724479281999,190
605428054927547200160806321396953875064064993786388220259,517947764993057345611359651602240206268097980242080073393,2746004461053299983920803933803389639341565041362811408395,189
2115578808015639169592164693791486285848408946715177665053,6171644243478803992427076350208342330916659651505141961894,3659566586388094043147114356174060874164950406663081237328,191
1211397965126049713412638016192397810208606549405908058344,3419739476680898951297629652425540959520279410863415575899,2777057214699281195995932305812593535728879335125541237541,190
1196053233529811702939102199050543977112658730224604440369,3518837226958680605844275553471764853878961896684069960206,5609612446991218322482746378705854808807056218023920616516,190
4302558121541843088630498130591538821415469848954259103723,2740572575111611577905527825366323504479584597564242790327,426675416213575715400320473288185229210956321565070530769,192
4610367410801333138290853868306673995633513815051529266101,1630303350049283802293560036209240896366756297175238833436,5988165911917731719448650600514927146456888643088155268291,192
3483325041456505405450001504289713355874185306793550614328,4057915103522638439905511593290597334511429326083708894437,1384691303297907660871812274343987426699375314939832042887,192
2550746525665075777539909875123588537786405999949106698074,412164249887113499613679816970798568640280937937169225954,5989090773340569064513457829013173114915303694390849120852,191
2334974945239437812598087536136057697206598126873915541730,3294052113907874811864681876400175395289489070117950733874,6230989527145215966359223744090548756940172211296399672656,191
4916073793409509032234391247128144714857601187176133443963,4967279574659416835738925926189051860407245933589935966071,2422300390115427843424853599997847794399401534992231434838,192
2033495458776524958637646744561833304953537196230282561488,4059386872395767273384987707865362184223455136403961318579,3408277789947278182313210153483360264132864672382352965866,191
2051055139055634433122689169789628422929095494570066345582,1432084869799763264402784817054329483051907968548699494148,3214894475925931997223456470880783104581145561802869042638,191
5358600019862672420917145327356200806083328648637270112468,3420281842009379960847201512391725412118649250630598521756,2506743420656289482249499061472295720011317089281179582616,192
5891706425747892738892291512386089874404453327082092168593,1883647379386251244870155740610243346944663858584286787785,3249178671746291253409987737226935579937658363291988684823,192
4535150365245318055246122133162062329510043258603423693162,796258766650129546945549555301012198535139689647957474589,1257626640094783513452545988361762454060015329543158059435,192
2045414199968429648229395504868549129163705534926386409102,1591351971371077534883324311275190236670316873517212981810,4822858200583313965581592370900059887728419180828336165365,191
4020641854268894688896415189278124092085247916688522529980,726683149391223170295240053876318704023040091074713755241,1496863807677850296363832868423711128484425338916250303744,192
2198807544005388867708351666716138671156757233405039734352,2296886786244988917576962675838822127160197667154496164870,388324911123877636306320277824987593227337986117373179849,191
2950990174634114568741622176024662465304550291762548853162,3852187941495017811192887072940493565537225231879377119716,5839097248182599327280996283549492183407399341227301849391,191
2824348423813315975113607208862246564283052845493577552935,2442491379044623141438774283964923593987274930082307832753,5693155061842556057333338334157598711551247520974377549380,191
3898903581067365159155459499516979231250988053033712378232,4131255509200746897039820374943145589515252005538030131575,39178797504571894686074017264731321371349041832332186701,192
3930780329501630929942870908618588553729604373687915789370,5392448969838507912174664749470146722938689623396140631313,3016910428034144714993668479751322777180948365529346527845,192
5959302442607123390364997641929875120708318180481405505013,4709938931291199807064153191262303166315460114556068365534,4075585881782708607435721885682341920812324008396257857181,192
3558997834375136876186094298159883693766623400772756975412,440549227949650620141666040469848134850929870445408781816,3627467652562472302547797882827848147997447112173898766825,192
4294187626238510206073677624486024418882043447153394445884,2681741586837729839239336185498038956039122593315660841738,4508555792890744541314144649164925809196722449306795424465,192
1752791854615524084509226970238467595559057254009069421509,3842440832397633725231916883995276874461070616370455423644,102007585488291338175530663243146683811914952309216290598,191
2771823219089761502560665020517950195900200830475193906247,2663409267097918047721017483956812595635460137613544972058,6163235406148238952603779373929027436998679581013812833116,191
5424693693784816987167663787145110282722685786663050456765,6143692634706689577479072253945343831186856300916509520430,1691055173601755765228496128119668648107465315951487885328,192
4197084500224980023133495595118505839398908984347151565236,3308996519628988240983439776197977560391014393922264980668,2137928751104528615142137066182241389894876138205070727916,192
4654731028451706655948959226179835004109299956102078380563,1346639452504074403035674096876621184449960466955173581828,4145105428582669869908754285040751944726975853169485738501,192
2699535212064091462047739702455811403725247485880949919974,2041596517304786200342851712500965974112139757735852747583,4505832260014424373702375827936077538128158798944538407434,191
3783864118595910211921824797436383377916321462211924751550,2273030003437391724270208655099491123139438344379496067832,5679925876654758756049425109494357627867061312951149742974,192
3457783191992832537750904073019005907800697796863719826193,5157785493262590477249117169840579811401681776569719017108,5485062792713510699215345321731471136209683574032329823261,192
2581101911096150431751516412903217264053280604404701536187,3243246810088912382309705498342037558750629748224990754318,3593010393295654270216943896862349078320355077166380078694,191
3790215249696717144403324714484644915933445462063561035913,3886385468242863359909356836672333638962478646472106223950,5288183011867205193338568338562986926414042738853553168894,192
3449006890062237966018457906183889961470743753221665156730,4029160681815034564945701368652605602431296765846994976627,3599472819215031154507654971977617985928671481144652642070,192
2868880626091483189508177868117569055030188412843281036042,2783709446075735278147376886521566534698605560033414903019,2635298959998615103706659286747804011071772154908036362865,191
1734066896289665512951911508361138179435846938542974450727,6014707071809796673605555758568384037721337819655029612198,5898953806165169805710326447052687853371405218996933282843,191
422484652347772774693915433235615559844831151451775357081,4703183359247823421814448856938791313819878272090282697881,1594982744541827377287103168869588472443231672788471021081,189
255531683990585966533921044539841801740869745219134247737,1822455707579936320897602612613075589263840893581300282466,4679593704200570126560967126177029814426794287595506585716,188
3528116519904905409483621305902401108161232389104059684884,4675572306028070851158969358150133121972915620994194727079,1399451122449990923757778319450531363264810581403871986974,192
486424935119770806289770047264927700664895276015985182041,5722942961816495902506454036492488756944074797906213276553,3557616060413883388800326185877301685843926017889220115603,189
2830262861219204270155934566667451677569755299133414845164,1238340426178682754572367375435394589073272559974767329291,1695331217356253551848157992910747783767857866494998855673,191
4340047373779562966903484691116755489024111107947240879363,4978906306266738739928326488965181982091605721292814613825,286097717164713001123123952891415443998220182765233883988,192
3423555356637250135081392916192136146669748999702383563044,3551550601741848371449870396978393899405468050531523268948,1639453482358480854182333337964649965647590953725242709020,192
2495309376835124160581748761923058295836208137535819409862,5990567769788761223754452346101347263502842176667418885538,3146920171346370681285796497339628604904501404153814755545,191
6226258823999961069486319125348213857062219423984114352623,175996856450596400690662462781767659389372364410875799280,2406151671020921765434822903933902078143323186731329486617,192
