r,s,z,r_bits
5250467508130980351943940911099188398583214896699266000721,3313938036037722731955325950392546866734277888196920887975,1672387134509822898718984939298379855530830522800469046414,192
3519089967883661006824519635207257054875684670646623155905,1570557494792796351285851298181646996195563120915305600712,4296118930440281622675298051992633034880868067176066479557,192
5203411088596553693994709081359371375098025251320943500223,5694154763393397452246451568643055230768321966983741491192,5050253216761099177055372139858744877630535475633945871779,192
2602462591609348429488592315488235138010265407677346472347,5520500091412439269981339955585878451903811541261737269443,1258386148994759476384802518745112320037315826201365917097,191
851560504256804831332390877795411123438438272975030369604,3945025555645554405360956921656458247825961097664431843482,158158774355478860738180250075530731830650688500424724977,190
64805745504747279645018479759047113886114235593895921551,4555254209365215626290520380981913689021823665986201205969,1497962432426929414086836494659293820042996508961650181455,186
2334999915617177047444316778594421984271569522231547002889,4479954312988234052909926734391257250055780822855860681165,3109020895795907737007566118606763030868934795604926633355,191
4748091314004014717194638217974033817723791473130297079390,3310927954368637962994646198087345008961855120838116064357,904215028624404577070209337535175720219909559860179250354,192
719935125497669833903098656451888076102797632540008112947,4516766171432688787645213809742998259444271400587701331994,3325033918195352638319148205217202746930880964767244568447,189
5853513306637571785552379875701147501460362287961762249502,5953259742511167986294465398609697270445473882655211339327,3846776021518060036312982899058842659573152162537627522755,192
4018462343953305395668118374280240343370547424427944344546,4517978168178717761729579199975040319115281378610470928774,6142992691418472968209322734086666719850633879475851228380,192
305511497182075659644405792572621896624527406218528077749,1242440459759951732211128700174898077753190482295338261168,3953687373540048257945371506650966137092724739857278403305,188
4096109836783039187421764447312837505348838900624581291629,3718255631588190067058955719508839942112649357840665417691,5366250556601132958457532816951755582278683930110956365354,192
5875207433624358993032629614509328490380505740904080310071,518477992276220199921796923363205933666008240053652096061,2245907532966468589063019329152111058434765332802261691958,192
5693189932964313947403169761014044395263242181831703144841,872397937361457297083956148177600284547554879905746267147,4196600998341956924276702735170593758282170849736964080471,192
6060666075323809651614497004544831802799300677190608955201,1803132491304804076150679206165964223534127206819492919694,4582512262424712885430816211850860937808316001095224122149,192
362652431244190647138537193653620706224435321641528069457,5388061595920210600922717833013289145185317448972398219797,6068447146265078231160814285395464533104856440318580127142,188
2605558787841292049405442471149941689348325334929162290528,1497179606334173326005530621383945320646775686650369954717,1566903167650224696487592913140339398817852737624630305089,191
5722336038305212729598253626287540990784397947886007901579,3950746875730171815191596583750637321658755735291650391485,3326681125664356850042882948305666356132387082428782004443,192
1535872549970791246389820145762638551064854262212918116284,3396043136048150253988410333171753512323792442025714390196,5111443636004950626485493503101149046758273012971526597105,190
854263312357754023641850723531877682049892552224904446022,3854414283321496224510115140106153078454705918922787573684,1772874707924101380936121254581300822657425779116316392213,190
652955828152902278813075749181377177731684600687246793060,2290053630727323251917777470101807542686491057614894598927,2761427225437592041142868339330198342492625817150762430219,189
1407223917147274685108908467241970194615725913675557419358,906106765668204798060562740869347988764076392600067715438,1552421979000718944220022239933895680286718526681368826025,190
5194752071812878405665478197742294766456204749306598665395,1217423471286006649201622576662878637843016243741592645380,1115365512809285508985631508489310376963088282710527611909,192
3356602162645821995594732791760384846352041519136455631477,5218398103029866835413062905243881580212081697201170683257,5215260099842875876553182853418857061545448756132726972739,192
3226482253371777289357772742636343429807759701059952455325,1542739800260954853203887230082079151774852564528537955802,4232273589527555211454228486189769876341129985892435850157,192
5515969956096929611164558497077398166533161306199005659326,5693011371356229509240912493300155556023815621998589338843,3940900370702929386493510959193870474585199743191652710144,192
2933651818101618902053731608937748541426713031019415908023,2060943437119881836783051883703446164495939198342818093330,2939692007803834760404608338972514272987976333959135053318,191
4562889436605567500321508329952231993221721710507071566331,4974801292928410555829434378363695995036127934462273597288,2622778282381999763603831966305813154358357635951764084732,192
1022350530928570750640848129804538400034374362748786214294,3812937064245415066128422833411659594633589508330671146296,968558169968287561468263449928556518349777199709809485084,190
5964979521131231132060832856002146796452529795480546752178,5381337931586855337211744209353110708812747135258790751003,1105029849834526956489538175724656570059596974773521341219,192
925586294056843565090226165833326523108228466536522550383,2259539238432041435497940344286979389622504720128577899851,3745915674545008395449655878743208280295281894273029534624,190
3700832892718009593786777446258125344533189694674845386670,2464530354561149241670373402432281335072800020494512893713,5705835118033133443334640939272278072698196286170968939364,192
892230427749776933719433941857052875417845940740628297543,2312765478868275740633743261755270262234387557262388870162,3481169502993624550775065673465616621849618386015460168059,190
2732921292081913225773294984788102664675560630837981561683,2142231857903593960311891660534517815112640146493325202386,772976287335821460115853581573205701310396272817371533241,191
5101004579394818716209055265727796670280739157101439440315,564535162424283152002177125612348051693914784593642946877,1277917670482210032391594783722107980399882109469305388713,192
5138994457286878140617846322586079267157422587163527305939,6247073082515071209795250376460898609377034384401334893852,6054884076740444561161782069507102311914874002328566340841,192
2565096207315439587581196539275540473247357228096858058857,4654033097267399334733804867463603430472089611005449259971,329711016247255424886395450349077800614244145327421040016,191
5106538229359091321196751777998729590550440913168372739642,1133268464793107596471140108821638393078680369044467188824,5974588579314069544109234579726525321518105384088128904776,192
4968826807967736420271653433022502514682547656199343237013,635087595634035301584473799743577613484172737299019496349,3386718323322033359492191992263832697158654309671011097407,192
2236536445456784379770223213660451737734866857454525436784,4217869329389928140211786775109085791154651758629067431710,5821040917564259652573952698565375016949314962169927568460,191
187974003927001713223428520608648297751872646068710526973,5056731389250678512128542435264897880912864865224016707019,5438684238086575861739159283719161465566427305886674902361,187
5694366002032336998659717467876746571724762058166934850910,3513926558340167756172037537955914287478603775423828055563,6158227840284271683978413413890845591477810312239614984580,192
3577981845760432367999278299478298322957955331547667389425,5932601621885192231262257470806501475831741935582847404545,969790654021026377130652026399713031779786349353468970223,192
70435377351390973757099844264044619141198252980373245172,6102598238489850399326073548678142326861804444366722461520,5214129396982113426333872034517722604698730040343155439822,186
5246471225530910078315486861443410482511485642697128077413,5930278932611626419989732426852439543983781001876896577146,5166905468208747614400012720196469524344927255373958102044,192
1494015852797207977045649983483189741529984317363978388023,3791137929729511154450076914603829205116870173098248028608,797220713628436027996099709203293850969186114871485511133,190
2747923915067184445578196311264026661217511876991330869923,5086494513759390594533499646261820499315075072164994404203,2385699826563390364941186450941297254724757905949868785744,191
4910051547527076034570061656008330057972611935578952771013,4566973276862624859374343399643309747496067445675535894801,5025858260627634287795951570509175050845483328372340269014,192
5289373016760960440243578783448108931681892478615630152047,1036382347892284309150238491513556409296289418517782669336,2212645912702665307774799231241566093509375680230361864071,192
5623561946191098040325746040177542681024043621517028733213,4309421535364455180918889768751975740355631181543786068931,4975082482185573166677688081956058503860950253777161535102,192
1613729105254178462168778539168404164221898785783977686974,4647204508810829865661936754751298467537982212987495104162,5773134637212038428143906532778843856884355905006741035054,191
1501295100889468354805408753429200194881696759330852975024,3588101210528701944307505415433903986664060783930035065797,2237791099655714212052133267998763228056053309725136162886,190
3736195507014291933510758289091558448743054699969444383963,1073962043352338141062957323627785831550408546517872114912,3428044518780044829509647505010180775372490511939024833328,192
1022990889866193790006714605227075547084755153309415268549,4004986961555683855169729885073254673062371549123903596399,5698686887583522244899585640875328199836905807685877643593,190
2333278498974224354450069068775007525742353541420049139931,4666426190890297350030339859577504524139583703698357673092,700226444297902989320554727410395554714682820482277572785,191
4318324778046023475963365043462046820980259665587734333302,1032590576685623231784538346027426018967669834541028059448,1042534595364397615855733144225885136602120019657821732469,192
5320360892811603951635029591615395624283402154640561623058,5115163405955383216356573604121130798115576609036544574114,914713297380738005011488102332427918069121407646677846209,192
547052476444752329494280222355768443671628991661395872836,71494380495727664409208602444042977822325156779161956936,4226082498267527124807606753535040401441696811655149367471,189
4152402389417248911096751261030165114177060470689101212423,624149568379337950264761088118435528222965557477812211648,275907911785483487347755194951851300944232275505989913903,192
1799975245067949608996990845578645973352634068979406795932,5133065193136619524831956076969544984622079476870620830891,3806978575506400229019629035796327371109552616342740962538,191
363745613857946246351658834155081182488699855628969540941,4154758921054189885079331787912146562739253436042865013798,971832948614288347950310578953327009386480176028119090256,188
3022523500336728010465699292917942514218657475896037673371,2862527832034005701769252653217062750493187638137947059260,1895197818844815514173299660981993210968945586584272633202,191
5072195198599498614033117496133693841896243492741818522197,2294954518680200305025257296265946869744717448872200543718,6198431739359667266526629967381874841208436467382487884673,192
1548071481613750249935130765936416445752862932236317686482,4384750924636583371696546990537727943568745670268017762620,5622874971380095403215611540779379612288832000103352082509,190
2618119501694956362774005899476263815274338252856911053753,1247165726739103450649824069617050740231602690409130787022,856933249146472649854417557592328712851561257445857358307,191
6098203676906286188589645530275320887492114845055623929626,4053044623175673893148881490741454044942711365444093738109,598461293982112863594564679555270921496475778115240516535,192
894805235708557770323736849449747887230761214600512693377,3168148867718724341174036797646596241494447971476884707046,1370085402233781304952243635449600055548883543212843906021,190
2065191546515100574561502192236535372995768580873898249128,4025356819349650131398448360005067842275871070149058828122,3859720571582102492469750015247729380892943837116867294669,191
5410351019479284525106090675176667757493401946709277839935,4537883405942958795215508382902140104738047801671620031924,4599503369344668707290670730209192107333888534511217144880,192
967917335573515256789922408067207433390297207220514677748,4538732130657194446468038794924431267335488799308303663291,1779786364765501393651524255429346558356297196512953308202,190
2039632143377882986764392360980502666452931092255532878745,3878007986745765422163522817766390107482625977732199776817,5287479704235072388613484018695703246170627798279772299282,191
4345521237698825363394057307590535561451503624596158237995,3906516720817174447335529807712450076414806818247005788703,1572660568086203336763630091505332194672923572064826487187,192
